#for mcu,,,,,,,,,,,,,,,,,,,,
0,0,0,,,,,,,,,,,,,,,,,,
#for backend,param code,Unit,Start Reg Address (-1 if not modbus related; Dont leave blank),End Reg Address (Dont leave blank),Bit Start (-1 if not used; Dont leave blank),Bit End (Dont leave blank),Data type (0:int; 1:float; Dont leave blank),Byte order (Dont leave blank),x max (Dont leave blank),x min (Dont leave blank),y max (Dont leave blank),y min (Dont leave blank),high threshold (Dont leave blank),low threshold (Dont leave blank),control value (String),"control (String;  c:<cmd5,6>:<register address>:<value>:<delay>; c:<cmd16>:<start_reg>:<quantity>:<target_reg>:<value>:<delay>;)",control type (onoff;custom),user access (0: hidden; 1:Read; 2:RW;Dont leave blank),critical warning (1:enable; 0:disable) (Dont leave blank),category (String)
IoT Dry Output 1,DO1,0:off;1:on,-1,0,-1,0,0,0,1,0,1,0,0,0,,c:do1:{0},onoff,0,0,
IoT Dry Output 2,DO2,0:off;1:on,-1,0,-1,0,0,0,1,0,1,0,0,0,,c:do2:{0},onoff,0,0,
IoT Dry Output 3,DO3,0:off;1:on,-1,0,-1,0,0,0,1,0,1,0,0,0,,c:do3:{0},onoff,0,0,
IoT Dry Output 4,DO4,0:off;1:on,-1,0,-1,0,0,0,1,0,1,0,0,0,,c:do4:{0},onoff,0,0,
IoT Dry Input 1,DI1,,-1,0,-1,0,0,0,1,0,1,0,0,0,,,,0,0,
IoT Dry Input 2,DI2,,-1,0,-1,0,0,0,1,0,1,0,0,0,,,,0,0,
IoT Dry Input 3,DI3,,-1,0,-1,0,0,0,1,0,1,0,0,0,,,,0,0,
IoT Dry Input 4,DI4,,-1,0,-1,0,0,0,1,0,1,0,0,0,,,,0,0,
IoT esp runtime,ESPU,Hours,-1,0,-1,0,0,0,3600,0,1,0,0,0,,,,0,0,
IoT mcu runtime,MCUU,Hours,-1,0,-1,0,0,0,3600,0,1,0,0,0,,,,0,0,
IoT mcu fw,MFW,,-1,0,-1,0,0,0,1,0,1,0,0,0,,,,0,0,
IoT mcu hw,HW,,-1,0,-1,0,0,0,1,0,1,0,0,0,,,,0,0,
IoT esp fw,EFW,,-1,0,-1,0,0,0,1,0,1,0,0,0,,,,0,0,
IoT update rate,UPR,Second,-1,0,-1,0,0,0,1,0,1,0,0,0,,,,0,0,
Treatment Status,1,,-1,0,-1,0,0,0,1,0,1,0,0,0,,,,1,0,
UV Dose,2,mJ/cm^2,-1,0,-1,0,0,0,1,0,1,0,0,0,,,,1,0,
UVT,3,%,-1,0,-1,0,0,0,1,0,1,0,0,0,,,,1,0,
UVI,4,%,-1,0,-1,0,0,0,1,0,1,0,0,0,,,,1,0,
L_Lamp,5,mV,-1,0,-1,0,0,0,1,0,1,0,0,0,,,,1,0,
L_Water,6,mV,-1,0,-1,0,0,0,1,0,1,0,0,0,,,,1,0,
R_Lamp,7,mV,-1,0,-1,0,0,0,1,0,1,0,0,0,,,,1,0,
R_Water,8,mV,-1,0,-1,0,0,0,1,0,1,0,0,0,,,,1,0,
PCB Temp,9,℃,-1,0,-1,0,0,0,1,0,1,0,0,0,,,,1,0,
SYS Temp,10,℃,-1,0,-1,0,0,0,1,0,1,0,0,0,,,,1,0,
WATER Temp,11,℃,-1,0,-1,0,0,0,1,0,1,0,0,0,,,,1,0,
LAMP Temp,12,℃,-1,0,-1,0,0,0,1,0,1,0,0,0,,,,1,0,
ALARMS,13,,-1,0,-1,0,0,0,1,0,1,0,0,0,,,,1,0,
WARNINGS,14,,-1,0,-1,0,0,0,1,0,1,0,0,0,,,,1,0,
OUTPUTS,15,,-1,0,-1,0,0,0,1,0,1,0,0,0,,,,1,0,
24 volt power,16,,-1,0,-1,0,0,0,1,0,1,0,0,0,,,,1,0,
INPUTS,17,,-1,0,-1,0,0,0,1,0,1,0,0,0,,,,1,0,
Fan_UV,18,,-1,0,-1,0,0,0,1,0,1,0,0,0,,,,1,0,
Fan_PCB,19,,-1,0,-1,0,0,0,1,0,1,0,0,0,,,,1,0,
Heater1,20,,-1,0,-1,0,0,0,1,0,1,0,0,0,,,,1,0,
Heater2,21,,-1,0,-1,0,0,0,1,0,1,0,0,0,,,,1,0,
System State,22,,-1,0,-1,0,0,0,1,0,1,0,0,0,,,,1,0,
Purge State,23,,-1,0,-1,0,0,0,1,0,1,0,0,0,,,,1,0,
UV Fan State,24,,-1,0,-1,0,0,0,1,0,1,0,0,0,,,,1,0,
Wiper State,25,,-1,0,-1,0,0,0,1,0,1,0,0,0,,,,1,0,
Purge Vlv,26,,-1,0,-1,0,0,0,1,0,1,0,0,0,,,,1,0,
I2C_Busy_Cnt,27,,-1,0,-1,0,0,0,1,0,1,0,0,0,,,,1,0,
I2C_Timeout_Cnt,28,,-1,0,-1,0,0,0,1,0,1,0,0,0,,,,1,0,
I2C_Error_Cnt,29,,-1,0,-1,0,0,0,1,0,1,0,0,0,,,,1,0,
I2C_Good_Cnt,30,,-1,0,-1,0,0,0,1,0,1,0,0,0,,,,1,0,
I2C_Channel,31,,-1,0,-1,0,0,0,1,0,1,0,0,0,,,,1,0,
IO_Good_cnt,32,,-1,0,-1,0,0,0,1,0,1,0,0,0,,,,1,0,
IO_Busy_cnt,33,,-1,0,-1,0,0,0,1,0,1,0,0,0,,,,1,0,
IO_Error_cnt,34,,-1,0,-1,0,0,0,1,0,1,0,0,0,,,,1,0,
Wiper Switch,35,,-1,0,-1,0,0,0,1,0,1,0,0,0,,,,1,0,
Ballast 1,36,,-1,0,-1,0,0,0,1,0,1,0,0,0,,,,1,0,
Ballast 2,37,,-1,0,-1,0,0,0,1,0,1,0,0,0,,,,1,0,
alarm_Low_UV_Lamp,A1,,-1,0,-1,0,0,0,1,0,1,0,0,0,,,,1,0,
alarm I/0 I2C error,A2,,-1,0,-1,0,0,0,1,0,1,0,0,0,,,,1,0,
alarm_Dose_Alarm,A3,,-1,0,-1,0,0,0,1,0,1,0,0,0,,,,1,0,
alarm_Lamps_not_striking,A4,,-1,0,-1,0,0,0,1,0,1,0,0,0,,,,1,0,
alarm_PCB_temp_too_high,A6,,-1,0,-1,0,0,0,1,0,1,0,0,0,,,,1,0,
alarm_System_temp_alarm,A7,,-1,0,-1,0,0,0,1,0,1,0,0,0,,,,1,0,
alarm_Lamp_no_output,A8,,-1,0,-1,0,0,0,1,0,1,0,0,0,,,,1,0,
alarm_Front_Panel_Ajar,A9,,-1,0,-1,0,0,0,1,0,1,0,0,0,,,,1,0,
alarm_UV_Sensor,A10,,-1,0,-1,0,0,0,1,0,1,0,0,0,,,,1,0,
alarm_water_temp_alarm,A11,,-1,0,-1,0,0,0,1,0,1,0,0,0,,,,1,0,
warn_End_of_Lamp_Life,W1,,-1,0,-1,0,0,0,1,0,1,0,0,0,,,,1,0,
warn_Wiper_not_turning,W3,,-1,0,-1,0,0,0,1,0,1,0,0,0,,,,1,0,
warn_Water_temperature_high,W4,,-1,0,-1,0,0,0,1,0,1,0,0,0,,,,1,0,
warn_System_temp_limit,W5,,-1,0,-1,0,0,0,1,0,1,0,0,0,,,,1,0,
warn_Water_temp_sensor,W6,,-1,0,-1,0,0,0,1,0,1,0,0,0,,,,1,0,
warn_UV_temp_sensor,W7,,-1,0,-1,0,0,0,1,0,1,0,0,0,,,,1,0,
warn_System_temp_sensor,W9,,-1,0,-1,0,0,0,1,0,1,0,0,0,,,,1,0,
warn_Lamp_Lifetime,W10,,-1,0,-1,0,0,0,1,0,1,0,0,0,,,,1,0,
